recording,subject,n_drop,trial,method,temporal_r,rmse_uv,sdr_db,n_good
G001Day3Rest2.cnt,G001,40,2,spline,0.2166,287.406,-6.558,22
G001Day3Rest2.cnt,G001,48,1,nearest,0.2065,194.143,-0.288,14
G001Day3Rest2.cnt,G001,48,1,linear,0.9788,6.636,29.036,14
G001Day3Rest2.cnt,G001,48,1,spline,-0.6635,601.426,-10.11,14
G001Day3Rest2.cnt,G001,48,2,nearest,0.2077,160.914,1.064,14
G001Day3Rest2.cnt,G001,48,2,linear,0.9828,5.811,29.91,14
G001Day3Rest2.cnt,G001,48,2,spline,-0.5108,397.086,-6.782,14
G001Day4Rest1.cnt,G001,8,1,nearest,-0.3265,97.073,-0.739,54
G001Day4Rest1.cnt,G001,8,1,linear,0.9967,3.788,27.434,54
G001Day4Rest1.cnt,G001,8,1,spline,0.7549,102.176,-1.184,54
G001Day4Rest1.cnt,G001,8,2,nearest,0.3073,119.076,-1.248,54
G001Day4Rest1.cnt,G001,8,2,linear,0.9767,4.865,26.527,54
G001Day4Rest1.cnt,G001,8,2,spline,0.5356,115.494,-0.983,54
G001Day4Rest1.cnt,G001,16,1,nearest,0.1701,140.122,-1.254,46
G001Day4Rest1.cnt,G001,16,1,linear,0.9313,93.454,2.264,46
G001Day4Rest1.cnt,G001,16,1,spline,0.1729,131.622,-0.71,46
G001Day4Rest1.cnt,G001,16,2,nearest,0.389,139.584,-4.981,46
G001Day4Rest1.cnt,G001,16,2,linear,0.979,4.652,24.563,46
G001Day4Rest1.cnt,G001,16,2,spline,0.5263,213.043,-8.653,46
G001Day4Rest1.cnt,G001,24,1,nearest,0.4925,97.647,1.977,38
G001Day4Rest1.cnt,G001,24,1,linear,0.9892,4.936,27.903,38
G001Day4Rest1.cnt,G001,24,1,spline,-0.0435,167.674,-2.719,38
G001Day4Rest1.cnt,G001,24,2,nearest,0.2989,132.212,-0.723,38
G001Day4Rest1.cnt,G001,24,2,linear,0.9742,76.332,4.048,38
G001Day4Rest1.cnt,G001,24,2,spline,0.2528,131.715,-0.691,38
G001Day4Rest1.cnt,G001,32,1,nearest,0.5819,135.869,1.227,30
G001Day4Rest1.cnt,G001,32,1,linear,0.9749,66.125,7.482,30
G001Day4Rest1.cnt,G001,32,1,spline,0.6965,162.53,-0.329,30
G001Day4Rest1.cnt,G001,32,2,nearest,0.2384,125.386,0.786,30
G001Day4Rest1.cnt,G001,32,2,linear,0.9729,66.159,6.339,30
G001Day4Rest1.cnt,G001,32,2,spline,-0.2711,178.724,-2.293,30
G001Day4Rest1.cnt,G001,40,1,nearest,0.2983,102.652,1.025,22
G001Day4Rest1.cnt,G001,40,1,linear,0.9871,5.009,27.256,22
G001Day4Rest1.cnt,G001,40,1,spline,0.3994,311.5,-8.617,22
G001Day4Rest1.cnt,G001,40,2,nearest,0.2938,112.739,0.755,22
G001Day4Rest1.cnt,G001,40,2,linear,0.9637,59.222,6.346,22
G001Day4Rest1.cnt,G001,40,2,spline,0.2184,189.218,-3.743,22
G001Day4Rest1.cnt,G001,48,1,nearest,0.2899,151.999,-0.554,14
G001Day4Rest1.cnt,G001,48,1,linear,0.975,54.096,8.42,14
G001Day4Rest1.cnt,G001,48,1,spline,-0.5033,284.162,-5.988,14
G001Day4Rest1.cnt,G001,48,2,nearest,0.0443,158.047,-2.586,14
G001Day4Rest1.cnt,G001,48,2,linear,0.9775,5.252,26.983,14
G001Day4Rest1.cnt,G001,48,2,spline,0.1627,889.018,-17.589,14
G001Day4Rest2.cnt,G001,8,1,nearest,0.2505,135.295,-1.194,54
G001Day4Rest2.cnt,G001,8,1,linear,0.9897,6.54,25.12,54
G001Day4Rest2.cnt,G001,8,1,spline,0.6821,108.37,0.733,54
G001Day4Rest2.cnt,G001,8,2,nearest,0.4709,237.457,-4.943,54
G001Day4Rest2.cnt,G001,8,2,linear,0.9985,4.588,29.337,54
G001Day4Rest2.cnt,G001,8,2,spline,-0.471,202.729,-3.57,54
G001Day4Rest2.cnt,G001,16,1,nearest,0.3768,193.053,-2.413,46
G001Day4Rest2.cnt,G001,16,1,linear,0.9826,103.908,2.967,46
G001Day4Rest2.cnt,G001,16,1,spline,0.2553,227.133,-3.826,46
G001Day4Rest2.cnt,G001,16,2,nearest,-0.1014,158.087,-3.293,46
G001Day4Rest2.cnt,G001,16,2,linear,0.9916,6.628,24.258,46
G001Day4Rest2.cnt,G001,16,2,spline,0.3844,191.092,-4.94,46
G001Day4Rest2.cnt,G001,24,1,nearest,0.258,162.385,-1.93,38
G001Day4Rest2.cnt,G001,24,1,linear,0.9729,84.889,3.704,38
G001Day4Rest2.cnt,G001,24,1,spline,0.325,300.206,-7.268,38
G001Day4Rest2.cnt,G001,24,2,nearest,0.3028,133.296,-3.348,38
G001Day4Rest2.cnt,G001,24,2,linear,0.9631,9.104,19.963,38
G001Day4Rest2.cnt,G001,24,2,spline,-0.135,163.171,-5.105,38
G001Day4Rest2.cnt,G001,32,1,nearest,-0.0862,178.36,-2.237,30
G001Day4Rest2.cnt,G001,32,1,linear,0.9736,73.546,5.458,30
G001Day4Rest2.cnt,G001,32,1,spline,0.5605,313.262,-7.129,30
G001Day4Rest2.cnt,G001,32,2,nearest,0.3338,142.776,0.502,30
G001Day4Rest2.cnt,G001,32,2,linear,0.9916,73.576,6.26,30
G001Day4Rest2.cnt,G001,32,2,spline,-0.3566,240.085,-4.013,30
G001Day4Rest2.cnt,G001,40,1,nearest,0.1563,154.918,-0.958,22
G001Day4Rest2.cnt,G001,40,1,linear,0.9664,65.816,6.477,22
G001Day4Rest2.cnt,G001,40,1,spline,0.3144,198.346,-3.105,22
G001Day4Rest2.cnt,G001,40,2,nearest,0.3398,133.264,0.682,22
G001Day4Rest2.cnt,G001,40,2,linear,0.98,65.827,6.808,22
G001Day4Rest2.cnt,G001,40,2,spline,0.7439,486.506,-10.566,22
G001Day4Rest2.cnt,G001,48,1,nearest,0.1329,180.654,-1.384,14
G001Day4Rest2.cnt,G001,48,1,linear,0.9939,60.153,8.168,14
G001Day4Rest2.cnt,G001,48,1,spline,-0.3824,337.056,-6.801,14
G001Day4Rest2.cnt,G001,48,2,nearest,0.285,129.1,-0.53,14
G001Day4Rest2.cnt,G001,48,2,linear,0.9473,60.16,6.103,14
G001Day4Rest2.cnt,G001,48,2,spline,-0.0021,289.845,-7.555,14
G001Day5Rest1.cnt,G001,8,1,nearest,0.0501,56.252,0.922,54
G001Day5Rest1.cnt,G001,8,1,linear,0.9965,3.868,24.175,54
G001Day5Rest1.cnt,G001,8,1,spline,-0.1416,78.177,-1.937,54
G001Day5Rest1.cnt,G001,8,2,nearest,0.4349,50.434,-0.246,54
G001Day5Rest1.cnt,G001,8,2,linear,0.932,4.105,21.542,54
G001Day5Rest1.cnt,G001,8,2,spline,-0.0152,52.342,-0.568,54
G001Day5Rest1.cnt,G001,16,1,nearest,0.2247,76.791,-1.645,46
G001Day5Rest1.cnt,G001,16,1,linear,0.9834,3.997,24.027,46
G001Day5Rest1.cnt,G001,16,1,spline,0.1267,66.721,-0.424,46
G001Day5Rest1.cnt,G001,16,2,nearest,0.4451,59.591,-1.124,46
G001Day5Rest1.cnt,G001,16,2,linear,0.9523,4.497,21.322,46
G001Day5Rest1.cnt,G001,16,2,spline,0.5783,68.733,-2.364,46
G001Day5Rest1.cnt,G001,24,1,nearest,0.147,84.089,-1.33,38
G001Day5Rest1.cnt,G001,24,1,linear,0.9537,4.777,23.582,38
G001Day5Rest1.cnt,G001,24,1,spline,0.3237,90.832,-2.0,38
G001Day5Rest1.cnt,G001,24,2,nearest,-0.1583,97.774,-1.303,38
G001Day5Rest1.cnt,G001,24,2,linear,0.9475,5.868,23.132,38
G001Day5Rest1.cnt,G001,24,2,spline,0.4792,79.808,0.461,38
G001Day5Rest1.cnt,G001,32,1,nearest,-0.1262,95.227,-1.149,30
G001Day5Rest1.cnt,G001,32,1,linear,0.9615,6.051,22.79,30
G001Day5Rest1.cnt,G001,32,1,spline,-0.6341,246.053,-9.394,30
G001Day5Rest1.cnt,G001,32,2,nearest,0.1134,74.062,-0.886,30
G001Day5Rest1.cnt,G001,32,2,linear,0.9586,4.995,22.536,30
G001Day5Rest1.cnt,G001,32,2,spline,0.3986,75.236,-1.022,30
G001Day5Rest1.cnt,G001,40,1,nearest,0.4413,59.72,1.603,22
G001Day5Rest1.cnt,G001,40,1,linear,0.9611,4.97,23.198,22
G001Day5Rest1.cnt,G001,40,1,spline,0.0075,118.581,-4.355,22
G001Day5Rest1.cnt,G001,40,2,nearest,0.5302,63.804,0.723,22
G001Day5Rest1.cnt,G001,40,2,linear,0.9662,5.089,22.688,22
G001Day5Rest1.cnt,G001,40,2,spline,0.4506,86.304,-1.901,22
G001Day5Rest1.cnt,G001,48,1,nearest,-0.0231,95.119,-1.736,14
G001Day5Rest1.cnt,G001,48,1,linear,0.947,6.494,21.58,14
G001Day5Rest1.cnt,G001,48,1,spline,0.4251,156.759,-6.075,14
G001Day5Rest1.cnt,G001,48,2,nearest,0.2616,99.331,-1.996,14
G001Day5Rest1.cnt,G001,48,2,linear,0.9334,5.471,23.185,14
G001Day5Rest1.cnt,G001,48,2,spline,-0.1717,143.211,-5.173,14
G001Day5Rest2.cnt,G001,8,1,nearest,0.1385,113.286,-4.083,54
G001Day5Rest2.cnt,G001,8,1,linear,0.6854,4.914,23.171,54
G001Day5Rest2.cnt,G001,8,1,spline,0.4199,99.929,-2.993,54
G001Day5Rest2.cnt,G001,8,2,nearest,0.081,108.751,-3.51,54
G001Day5Rest2.cnt,G001,8,2,linear,0.7909,5.302,22.731,54
G001Day5Rest2.cnt,G001,8,2,spline,-0.0322,84.834,-1.353,54
G001Day5Rest2.cnt,G001,16,1,nearest,0.1786,138.609,0.305,46
G001Day5Rest2.cnt,G001,16,1,linear,0.844,6.099,27.436,46
G001Day5Rest2.cnt,G001,16,1,spline,0.3241,145.628,-0.124,46
G001Day5Rest2.cnt,G001,16,2,nearest,-0.0883,208.434,-4.625,46
G001Day5Rest2.cnt,G001,16,2,linear,0.7895,5.513,26.927,46
G001Day5Rest2.cnt,G001,16,2,spline,0.477,163.174,-2.498,46
G001Day5Rest2.cnt,G001,24,1,nearest,0.0635,168.465,-3.326,38
G001Day5Rest2.cnt,G001,24,1,linear,0.8379,7.378,23.845,38
G001Day5Rest2.cnt,G001,24,1,spline,0.233,182.868,-4.039,38
G001Day5Rest2.cnt,G001,24,2,nearest,0.1062,202.008,-3.591,38
G001Day5Rest2.cnt,G001,24,2,linear,0.8927,7.023,25.585,38
G001Day5Rest2.cnt,G001,24,2,spline,-0.1012,319.32,-7.568,38
G001Day5Rest2.cnt,G001,32,1,nearest,0.0699,169.363,-2.065,30
G001Day5Rest2.cnt,G001,32,1,linear,0.8816,5.407,27.853,30
G001Day5Rest2.cnt,G001,32,1,spline,0.2883,165.838,-1.882,30
