recording,subject,n_drop,pattern,trial,method,temporal_r,rmse_uv,sdr_db
G001Day4Rest2.cnt,G001,16,contiguous,2,nearest,-0.1014,158.087,-3.293
G001Day4Rest2.cnt,G001,16,contiguous,2,linear,0.9916,6.628,24.258
G001Day4Rest2.cnt,G001,16,contiguous,2,spline,0.3844,191.092,-4.94
G001Day5Rest1.cnt,G001,2,scattered,1,nearest,-0.0132,122.382,-3.168
G001Day5Rest1.cnt,G001,2,scattered,1,linear,0.9985,4.04,26.459
G001Day5Rest1.cnt,G001,2,scattered,1,spline,0.0672,84.347,0.065
G001Day5Rest1.cnt,G001,2,scattered,2,nearest,0.0744,52.063,-2.065
G001Day5Rest1.cnt,G001,2,scattered,2,linear,0.9479,6.613,15.858
G001Day5Rest1.cnt,G001,2,scattered,2,spline,0.9633,18.451,6.946
G001Day5Rest1.cnt,G001,2,contiguous,1,nearest,-0.0319,73.838,-6.43
G001Day5Rest1.cnt,G001,2,contiguous,1,linear,0.9344,7.879,13.006
G001Day5Rest1.cnt,G001,2,contiguous,1,spline,0.0871,45.372,-2.2
G001Day5Rest1.cnt,G001,2,contiguous,2,nearest,0.0222,83.233,-1.949
G001Day5Rest1.cnt,G001,2,contiguous,2,linear,0.9986,2.511,28.459
G001Day5Rest1.cnt,G001,2,contiguous,2,spline,0.9984,39.103,4.613
G001Day5Rest1.cnt,G001,8,scattered,1,nearest,-0.1192,72.108,-1.036
G001Day5Rest1.cnt,G001,8,scattered,1,linear,0.9164,4.369,23.317
G001Day5Rest1.cnt,G001,8,scattered,1,spline,-0.0482,62.347,0.228
G001Day5Rest1.cnt,G001,8,scattered,2,nearest,-0.4579,97.711,-2.415
G001Day5Rest1.cnt,G001,8,scattered,2,linear,0.9789,4.415,24.484
G001Day5Rest1.cnt,G001,8,scattered,2,spline,-0.1944,85.723,-1.278
G001Day5Rest1.cnt,G001,8,contiguous,1,nearest,0.0501,56.252,0.922
G001Day5Rest1.cnt,G001,8,contiguous,1,linear,0.9965,3.868,24.175
G001Day5Rest1.cnt,G001,8,contiguous,1,spline,-0.1416,78.177,-1.937
G001Day5Rest1.cnt,G001,8,contiguous,2,nearest,0.4349,50.434,-0.246
G001Day5Rest1.cnt,G001,8,contiguous,2,linear,0.932,4.105,21.542
G001Day5Rest1.cnt,G001,8,contiguous,2,spline,-0.0152,52.342,-0.568
G001Day5Rest1.cnt,G001,16,scattered,1,nearest,0.2348,57.014,-1.081
G001Day5Rest1.cnt,G001,16,scattered,1,linear,0.9597,4.121,21.739
G001Day5Rest1.cnt,G001,16,scattered,1,spline,0.133,51.611,-0.216
G001Day5Rest1.cnt,G001,16,scattered,2,nearest,0.1634,81.449,-2.668
G001Day5Rest1.cnt,G001,16,scattered,2,linear,0.9913,4.769,21.981
G001Day5Rest1.cnt,G001,16,scattered,2,spline,0.3357,62.199,-0.326
G001Day5Rest1.cnt,G001,16,contiguous,1,nearest,0.2247,76.791,-1.645
G001Day5Rest1.cnt,G001,16,contiguous,1,linear,0.9834,3.997,24.027
G001Day5Rest1.cnt,G001,16,contiguous,1,spline,0.1267,66.721,-0.424
G001Day5Rest1.cnt,G001,16,contiguous,2,nearest,0.4451,59.591,-1.124
G001Day5Rest1.cnt,G001,16,contiguous,2,linear,0.9523,4.497,21.322
G001Day5Rest1.cnt,G001,16,contiguous,2,spline,0.5783,68.733,-2.364
G001Day5Rest2.cnt,G001,2,scattered,1,nearest,0.0029,338.474,-5.498
